"V1" "V2"
"1" 365712 0
"2" 66270456 0.390637324982799
"3" 66270950 0.390637324982799
"4" 66271145 0.384376403725513
"5" 66270058 0.384322720136586
"6" 66271012 0.384322720136586
"7" 66271147 0.378274943389529
"8" 66268202 0.376572470375443
"9" 66269474 0.376572470375443
"10" 66268479 0.374859404711524
"11" 90576998 0.374796621693572
"12" 66266903 0.373476005502038
"13" 66266996 0.373476005502038
"14" 66267248 0.373419393717352
"15" 66271549 0.372324970928781
"16" 90574931 0.370574858105727
"17" 66268374 0.368545425979974
"18" 66268420 0.368545425979974
"19" 66268526 0.368545425979974
"20" 66268646 0.368545425979974
"21" 90577453 0.368514045985075
"22" 36636538 0.367731546151166
"23" 66267116 0.3671867303278
"24" 66267661 0.3671867303278
"25" 36636363 0.367066573581285
"26" 66263477 0.36659475937711
"27" 90574684 0.366377732290771
"28" 36636337 0.365605010999508
"29" 36636135 0.365565092433383
"30" 66266554 0.365094321223896
"31" 36636992 0.364116323415843
"32" 90577681 0.363582017730634
"33" 36636933 0.363439779873057
"34" 66268127 0.362507615768087
"35" 66268134 0.362507615768087
"36" 66268731 0.362507615768087
"37" 66269269 0.362507615768087
"38" 66267861 0.362452990361811
"39" 66268099 0.362452990361811
"40" 36636032 0.361246423464637
"41" 66265140 0.361118131475464
"42" 66267837 0.361118131475464
"43" 36635280 0.360484691777152
"44" 66271557 0.360231474993822
"45" 36637159 0.360095300745315
"46" 66263466 0.359623755002149
"47" 66265625 0.358843089851546
"48" 66266271 0.358843089851546
"49" 66267469 0.358843089851546
"50" 90577773 0.358285697070823
"51" 36635758 0.357036593739738
"52" 36635850 0.357036593739738
"53" 36637223 0.356949224907654
"54" 36634901 0.356698293096943
"55" 36634998 0.356698293096943
"56" 90574677 0.356678459354641
"57" 66268969 0.356678005908334
"58" 66269200 0.356678005908334
"59" 36634229 0.356660321777946
"60" 36635962 0.35615167756509
"61" 36635581 0.35565228259933
"62" 66264918 0.355312478241447
"63" 90578115 0.353353668816382
"64" 36637324 0.353346634334791
"65" 66263674 0.353216832955706
"66" 66265814 0.352870717602455
"67" 66265238 0.352815116742495
"68" 90574525 0.352481333539685
"69" 90578728 0.351471772296873
"70" 66269119 0.351046009942133
"71" 66263070 0.350985547566601
"72" 66266055 0.35019042565395
"73" 90578200 0.350121224842816
"74" 66262340 0.349841382806875
"75" 36638243 0.349674849577449
"76" 36638247 0.349634931011324
"77" 36638998 0.349634931011324
"78" 36637398 0.349364952855528
"79" 90578188 0.349134969794129
"80" 36643813 0.348872740117414
"81" 36639040 0.348630904510991
"82" 90574417 0.348284207724728
"83" 66264244 0.347502570834732
"84" 66263808 0.347447945428455
"85" 66272316 0.347296692385126
"86" 66272638 0.347296692385126
"87" 36638176 0.347162087062609
"88" 36634051 0.347155079124272
"89" 66272775 0.346869863116834
"90" 90578835 0.346539744042432
"91" 36644188 0.346232409675202
"92" 36644541 0.346232409675202
"93" 36644129 0.345550165090518
"94" 36638160 0.344478201595173
"95" 36639328 0.34445997634418
"96" 36631052 0.344409876748678
"97" 66265982 0.344266785985741
"98" 36639239 0.344127382109146
